Date,EUR,YTD
1999-01-05,0.84825,?
1999-01-06,0.8481799999999999,?
1999-01-07,0.85157,?
1999-01-08,0.8597,?
1999-01-11,0.8577100000000001,?
1999-01-12,0.8643799999999999,?
1999-01-13,0.86806,?
1999-01-14,0.8515,?
1999-01-15,0.85815,?
1999-01-18,0.86014,?
1999-01-19,0.86118,?
1999-01-20,0.86088,?
1999-01-21,0.86393,?
1999-01-22,0.86415,?
1999-01-25,0.8645299999999999,?
1999-01-26,0.86326,?
1999-01-27,0.86341,?
1999-01-28,0.8673799999999999,?
1999-01-29,0.8764200000000001,?
1999-02-01,0.8784299999999999,?
1999-02-02,0.8819899999999999,?
1999-02-03,0.88207,?
1999-02-04,0.88207,?
1999-02-05,0.88786,?
1999-02-08,0.8855799999999999,?
1999-02-09,0.8892100000000001,?
1999-02-10,0.8823799999999999,?
1999-02-11,0.8816799999999999,?
1999-02-12,0.88402,?
1999-02-15,0.88936,?
1999-02-16,0.88984,?
1999-02-17,0.8947700000000001,?
1999-02-18,0.88865,?
1999-02-19,0.89031,?
1999-02-22,0.8958200000000001,?
1999-02-23,0.90975,?
1999-02-24,0.91166,?
1999-02-25,0.90604,?
1999-02-26,0.90654,?
1999-03-01,0.90761,?
1999-03-02,0.91025,?
1999-03-03,0.91853,?
1999-03-04,0.91752,?
1999-03-05,0.9203,?
1999-03-08,0.92302,?
1999-03-09,0.91676,?
1999-03-10,0.92056,?
1999-03-11,0.91299,?
1999-03-12,0.91819,?
1999-03-15,0.91475,?
1999-03-16,0.91333,?
1999-03-17,0.91735,?
1999-03-18,0.91191,?
1999-03-19,0.9081,?
1999-03-22,0.91617,?
1999-03-23,0.92047,?
1999-03-24,0.91777,?
1999-03-25,0.91508,?
1999-03-26,0.9176,?
1999-03-29,0.92464,?
1999-03-30,0.93528,?
1999-03-31,0.93362,?
1999-04-01,0.93093,?
1999-04-02,0.92833,?
1999-04-05,0.92833,?
1999-04-06,0.93006,?
1999-04-07,0.93231,?
1999-04-08,0.9249,?
1999-04-09,0.92439,?
1999-04-12,0.92782,?
1999-04-13,0.92022,?
1999-04-14,0.92894,?
1999-04-15,0.92704,?
1999-04-16,0.92713,?
1999-04-19,0.93738,?
1999-04-20,0.9402,?
1999-04-21,0.93932,?
1999-04-22,0.94464,?
1999-04-23,0.94509,?
1999-04-26,0.94038,?
1999-04-27,0.94215,?
1999-04-28,0.94073,?
1999-04-29,0.93756,?
1999-04-30,0.94304,?
1999-05-03,0.94366,?
1999-05-04,0.94438,?
1999-05-05,0.94661,?
1999-05-06,0.93747,?
1999-05-07,0.92601,?
1999-05-10,0.92713,?
1999-05-11,0.93153,?
1999-05-12,0.93179,?
1999-05-13,0.93941,?
1999-05-14,0.94144,?
1999-05-17,0.93668,?
1999-05-18,0.93589,?
1999-05-19,0.93545,?
1999-05-20,0.94038,?
1999-05-21,0.93994,?
1999-05-24,0.94589,?
1999-05-25,0.94473,?
1999-05-26,0.941,?
1999-05-27,0.94922,?
1999-05-28,0.95484,?
1999-05-31,0.95429,?
1999-06-01,0.95639,?
1999-06-02,0.95841,?
1999-06-03,0.96321,?
1999-06-04,0.96321,?
1999-06-07,0.96946,?
1999-06-08,0.96937,?
1999-06-09,0.96293,?
1999-06-10,0.95547,?
1999-06-11,0.95475,?
1999-06-14,0.95475,?
1999-06-15,0.95813,?
1999-06-16,0.96228,?
1999-06-17,0.96665,?
1999-06-18,0.96712,?
1999-06-21,0.96265,?
1999-06-22,0.96721,?
1999-06-23,0.96965,?
1999-06-24,0.97276,?
1999-06-25,0.9689,?
1999-06-28,0.95758,?
1999-06-29,0.96265,?
1999-06-30,0.96488,?
