Date,NZD,YTD
1999-01-05,1.8856,?
1999-01-06,1.8669,?
1999-01-07,1.8641,?
1999-01-08,1.851,?
1999-01-11,1.849,?
1999-01-12,1.8374,?
1999-01-13,1.8411,?
1999-01-14,1.8515,?
1999-01-15,1.851,?
1999-01-18,1.8564,?
1999-01-19,1.8663,?
1999-01-20,1.8607,?
1999-01-21,1.8574,?
1999-01-22,1.857,?
1999-01-25,1.8604,?
1999-01-26,1.8697,?
1999-01-27,1.8709,?
1999-01-28,1.873,?
1999-01-29,1.8725,?
1999-02-01,1.8541,?
1999-02-02,1.8399,?
1999-02-03,1.8312,?
1999-02-04,1.8141,?
1999-02-05,1.8167,?
1999-02-08,1.8093,?
1999-02-09,1.7917,?
1999-02-10,1.801,?
1999-02-11,1.8118,?
1999-02-12,1.8106,?
1999-02-15,1.8276,?
1999-02-16,1.8269,?
1999-02-17,1.866,?
1999-02-18,1.8591,?
1999-02-19,1.8556,?
1999-02-22,1.842,?
1999-02-23,1.8556,?
1999-02-24,1.8589,?
1999-02-25,1.8817,?
1999-02-26,1.8948,?
1999-03-01,1.9124,?
1999-03-02,1.9057,?
1999-03-03,1.8922,?
1999-03-04,1.8871,?
1999-03-05,1.9023,?
1999-03-08,1.892,?
1999-03-09,1.8714,?
1999-03-10,1.8737,?
1999-03-11,1.8681,?
1999-03-12,1.8702,?
1999-03-15,1.8772,?
1999-03-16,1.8708,?
1999-03-17,1.8909,?
1999-03-18,1.9006,?
1999-03-19,1.8817,?
1999-03-22,1.8801,?
1999-03-23,1.876,?
1999-03-24,1.8558,?
1999-03-25,1.8577,?
1999-03-26,1.8654,?
1999-03-29,1.862,?
1999-03-30,1.8774,?
1999-03-31,1.8772,?
1999-04-01,1.8845,?
1999-04-02,1.8667,?
1999-04-05,1.8756,?
1999-04-06,1.8739,?
1999-04-07,1.8891,?
1999-04-08,1.8813,?
1999-04-09,1.8841,?
1999-04-12,1.8753,?
1999-04-13,1.8442,?
1999-04-14,1.8463,?
1999-04-15,1.8389,?
1999-04-16,1.8508,?
1999-04-19,1.8408,?
1999-04-20,1.8182,?
1999-04-21,1.8159,?
1999-04-22,1.8286,?
1999-04-23,1.8327,?
1999-04-26,1.8154,?
1999-04-27,1.8238,?
1999-04-28,1.8272,?
1999-04-29,1.8159,?
1999-04-30,1.7977,?
1999-05-03,1.7894,?
1999-05-04,1.7864,?
1999-05-05,1.7922,?
1999-05-06,1.7972,?
1999-05-07,1.7728,?
1999-05-10,1.7831,?
1999-05-11,1.787,?
1999-05-12,1.7821,?
1999-05-13,1.7853,?
1999-05-14,1.788,?
1999-05-17,1.7893,?
1999-05-18,1.7946,?
1999-05-19,1.7804,?
1999-05-20,1.8119,?
1999-05-21,1.8208,?
1999-05-24,1.8242,?
1999-05-25,1.8379,?
1999-05-26,1.8344,?
1999-05-27,1.8716,?
1999-05-28,1.866,?
1999-05-31,1.8663,?
1999-06-01,1.8679,?
1999-06-02,1.8843,?
1999-06-03,1.8965,?
1999-06-04,1.9071,?
1999-06-07,1.885,?
1999-06-08,1.8621,?
1999-06-09,1.8824,?
1999-06-10,1.8697,?
1999-06-11,1.8686,?
1999-06-14,1.854,?
1999-06-15,1.8642,?
1999-06-16,1.8694,?
1999-06-17,1.8851,?
1999-06-18,1.8674,?
1999-06-21,1.8786,?
1999-06-22,1.8875,?
1999-06-23,1.8927,?
1999-06-24,1.8802,?
1999-06-25,1.8647,?
1999-06-28,1.8645,?
1999-06-29,1.8702,?
1999-06-30,1.8818,?
1999-07-01,1.8788,?
1999-07-02,1.8671,?
1999-07-05,1.8789,?
1999-07-06,1.8889,?
1999-07-07,1.8828,?
1999-07-08,1.9073,?
1999-07-09,1.9117,?
1999-07-12,1.8941,?
1999-07-13,1.907,?
1999-07-14,1.911,?
1999-07-15,1.9138,?
1999-07-16,1.9129,?
1999-07-19,1.9084,?
1999-07-20,1.9121,?
1999-07-21,1.9108,?
1999-07-22,1.9139,?
1999-07-23,1.8876,?
1999-07-26,1.8845,?
1999-07-27,1.8923,?
1999-07-28,1.9095,?
1999-07-29,1.9126,?
1999-07-30,1.8953,?
1999-08-02,1.8859,?
1999-08-03,1.8989,?
1999-08-04,1.8924,?
1999-08-05,1.8632,?
1999-08-06,1.8766,?
1999-08-09,1.8905,?
1999-08-10,1.8966,?
1999-08-11,1.8901,?
1999-08-12,1.8921,?
1999-08-13,1.8888,?
1999-08-16,1.8862,?
1999-08-17,1.8839,?
1999-08-18,1.9041,?
1999-08-19,1.8995,?
1999-08-20,1.8853,?
1999-08-23,1.8839,?
1999-08-24,1.8795,?
1999-08-25,1.8979,?
1999-08-26,1.9406,?
1999-08-27,1.9421,?
1999-08-30,1.9465,?
1999-08-31,1.9474,?
1999-09-01,1.9331,?
1999-09-02,1.9444,?
1999-09-03,1.9212,?
1999-09-06,1.9296,?
1999-09-07,1.9349,?
1999-09-08,1.906,?
1999-09-09,1.8943,?
1999-09-10,1.8944,?
1999-09-13,1.8769,?
1999-09-14,1.8739,?
1999-09-15,1.8855,?
1999-09-16,1.9103,?
1999-09-17,1.908,?
1999-09-20,1.9003,?
1999-09-21,1.9151,?
1999-09-22,1.9044,?
1999-09-23,1.9008,?
1999-09-24,1.9143,?
1999-09-27,1.9333,?
1999-09-28,1.9307,?
1999-09-29,1.9486,?
1999-09-30,1.9391,?
1999-10-01,1.9361,?
1999-10-04,1.9284,?
